Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online," Amarillo Rahab Hospital",ARH-3M,Server,KFH\rpatel,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d 65 0c aa 95 55 b4-b5 dd d2 7a b1 bd 13 38,ARH-3M,2025-03-27T00:06:11Z,00:50:56:BF:59:23,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online," Amarillo Rahab Hospital",ARH-DC1,Server,ARH\sverma,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 3f fd 03 9d 7f 8c af-ef 96 5e 0f 1e f3 73 23,ARH-DC1,2025-03-27T00:06:11Z,00:50:56:BF:1A:82,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online," Amarillo Rahab Hospital",ARH-EHRBKP,Desktop,ARH-EHRBKP\him,Microsoft Windows 11 Pro 10.0.26100,BKD7704,ARHDT049,2025-03-27T00:06:11Z,"20:88:10:E2:4F:D2, A0:02:A5:84:C0:9C, A0:02:A5:84:C0:A0",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARH-FileServer,Server,ARH\rpatel,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d 61 ae d0 1f 56 ae-a5 eb 61 ce 3e da 5b e1,ARH-FileServer,2025-03-27T00:06:11Z,00:50:56:BF:89:27,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online," Amarillo Rahab Hospital",ARH-IT,Desktop,ARH\ychhabra,Microsoft Windows 10 Pro 10.0.19045,VMware-42 3f c4 d4 fc 74 9b e9-ee 33 68 9e c3 56 ff 9e,ARH-IT,2025-03-27T00:06:11Z,00:50:56:BF:42:3D,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online," Amarillo Rahab Hospital",ARH-PrintServer,Server,ARH\sverma,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d 3a 13 a8 39 06 11-55 a6 c1 cd 50 5c 4c 54,ARH-PrintServer,2025-03-27T00:06:11Z,00:50:56:BF:41:EE,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online," Amarillo Rahab Hospital",ARH-VPN,Server,ARH\ssandhu,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 3f 4d bf bd 03 a5 60-5f 03 b3 3f b2 78 63 ad,ARH-VPN,2025-03-27T00:06:11Z,00:50:56:BF:BB:3D,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online," Amarillo Rahab Hospital",ARHDT002,Desktop,ARH\skraai,Microsoft Windows 11 Pro 10.0.26100,D429H04,ARHDT002,2025-03-27T00:06:11Z,"F0:20:FF:05:19:4B, 20:88:10:E8:57:20, F0:20:FF:05:19:4F",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT003,Desktop,ARH\hmccown,Microsoft Windows 11 Pro 10.0.26100,C6PT704,ARHDT003,2025-03-27T00:06:11Z,"20:88:10:E7:16:10, D4:E9:8A:EF:8C:6F, D4:E9:8A:EF:8C:73",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT004,Desktop,ARH\ssmith,Microsoft Windows 11 Pro 10.0.26100,47JBH04,ARHDT004,2025-03-27T00:06:11Z,"F0:20:FF:62:67:86, 20:88:10:E8:58:1C, F0:20:FF:62:67:8A",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT005,Desktop,ARH\alamberson,Microsoft Windows 11 Pro 10.0.26100,8529H04,ARHDT005,2025-03-27T00:06:11Z,"F0:20:FF:08:E4:A9, 20:88:10:E8:56:A6, F0:20:FF:08:E4:AD",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT006,Desktop,ARH\chilliard,Microsoft Windows 11 Pro 10.0.26100,3F8X704,ARHDT006,2025-03-27T00:06:11Z,"D4:E9:8A:F2:4A:18, 20:88:10:E7:0E:A7, D4:E9:8A:F2:4A:1C",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT007,Desktop,ARH\callen,Microsoft Windows 11 Pro 10.0.26100,5Y90804,ARHDT007,2025-03-27T00:06:11Z,"D4:E9:8A:F3:8C:7A, 20:88:10:E6:6A:7A, D4:E9:8A:F3:8C:7E",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT008,Desktop,ARH\FANTILLON,Microsoft Windows 11 Pro 10.0.26100,F529H04,ARHDT008,2025-03-27T00:06:11Z,"20:88:10:E8:55:73, F0:20:FF:09:45:57, F0:20:FF:09:45:5B",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT009,Desktop,ARH\dmorales,Microsoft Windows 11 Pro 10.0.26100,B429H04,ARHDT009,2025-03-27T00:06:11Z,"20:88:10:E8:56:B7, F0:20:FF:0A:E5:56, F0:20:FF:0A:E5:5A",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT010,Desktop,ARH\dwhitacre,Microsoft Windows 11 Pro 10.0.26100,39ST704,ARHDT010,2025-03-27T00:06:11Z,"D4:E9:8A:F1:07:8E, 20:88:10:E7:12:02, D4:E9:8A:F1:07:92",13th Gen Intel(R) Core(TM) i5-13500T
Online," Amarillo Rahab Hospital",ARHDT011,Desktop,ARH\fantillon,Microsoft Windows 11 Pro 10.0.26100,D529H04,ARHDT011,2025-03-27T00:06:11Z,"20:88:10:E8:56:CB, F0:20:FF:05:19:DC, F0:20:FF:05:19:E0",13th Gen Intel(R) Core(TM) i5-13500T
Offline," Amarillo Rahab Hospital",ARHDT012,Desktop,ARH\twilliams,Microsoft Windows 11 Pro 10.0.26100,3BST704,ARHDT012,2025-03-27T00:00:21Z,"20:88:10:E7:11:E8, D4:E9:8A:F0:35:CF, D4:E9:8A:F0:35:D3",13th Gen Intel(R) Core(TM) i5-13500T
