Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Offline,CRMC,AAMLT456,Laptop,AAMLT456\Kai Lee,Microsoft Windows 11 Pro 10.0.22621,2C7PRF2,AAMLT456,2025-03-05T07:42:01Z,"34:F3:9A:E2:41:EF, D4:81:D7:5D:EF:2F",Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz
Online,CRMC,CRMC-DC1,Server,CRMC\akhan,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d 99 59 cf 42 1f 32-2e 17 dc ae 93 64 cb af,CRMC-DC1,2025-03-26T23:48:46Z,00:0C:29:64:CB:AF,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz
Online,CRMC,CRMC-DC2,Server,CRMC\msingh2,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 1a 66 ab 07 ac 33 01-c6 ec 3f 98 ac 94 75 ec,CRMC-DC2,2025-03-26T23:48:46Z,00:50:56:9A:E6:95,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz
Online,CRMC,CRMC-IT,Desktop,CRMC\nbisht,Microsoft Windows 10 Pro N 10.0.19045,VMware-42 1a ce 17 6b 16 8f c9-d1 4b 44 dc de 8d 21 f2,CRMC-IT,2025-03-26T23:48:46Z,00:50:56:9A:66:BA,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz
Online,CRMC,CRMC-TCLOCK138,Desktop,CRMC-TCLOCK138\cpadmin,Microsoft Windows 10 IoT Enterprise LTSC 10.0.19044,5C00940,DESKTOP-RSEDG6U,2025-03-26T23:48:46Z,"00:07:32:83:35:E3, 60:DD:8E:A7:28:6C, 60:DD:8E:A7:28:70",Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz
Online,CRMC,CRMC-Tclock140,Desktop,CRMC-TCLOCK140\cpadmin,Microsoft Windows 10 IoT Enterprise LTSC 10.0.19044,5C00935,CRMC-Tclock140,2025-03-26T23:48:46Z,"00:07:32:80:D6:55, 8C:1D:96:E3:9E:13, 8C:1D:96:E3:9E:0F",Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz
Online,CRMC,CRMC-Tclock141,Desktop,CRMC-TCLOCK141\cpadmin,Microsoft Windows 10 IoT Enterprise LTSC 10.0.19044,5C00943,CRMC-TCLOCK141,2025-03-26T23:48:46Z,"00:07:32:83:35:DF, 60:DD:8E:17:A6:AF, 60:DD:8E:17:A6:AB",Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz
Online,CRMC,CRMC-Tclock142,Desktop,CRMC-TCLOCK142\cpadmin,Microsoft Windows 10 IoT Enterprise LTSC 10.0.19044,5C00934,CRMC-TCLOCK142,2025-03-26T23:48:46Z,"00:07:32:80:D6:53, 8C:1D:96:E3:87:DF",Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz
Online,CRMC,CRMC-TCLOCK283,Desktop,CRMC-TCLOCK283\Support,Microsoft Windows 10 Pro 10.0.19045,5M59816,CRMC-TCLOCK283,2025-03-26T23:48:46Z,"00:07:32:2F:BF:E2, E0:9D:31:8C:FD:9C",Intel(R) Core(TM) i3-4330TE CPU @ 2.40GHz
Online,CRMC,CRMC0001,Desktop,CRMC\a.Wiess,Microsoft Windows 11 Pro 10.0.26100,CSZ2W23,CRMC0001,2025-03-26T23:48:46Z,"A4:BB:6D:A3:B2:9F, 4C:EB:BD:08:3B:CB, 5E:EB:BD:08:3B:CB",Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz
Online,CRMC,CRMC0015,Desktop,CRMC\p.smith,Microsoft Windows 10 Pro 10.0.19045,326F0M2,CRMC0015,2025-03-26T23:48:46Z,14:B3:1F:22:50:9A,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz
Online,CRMC,CRMC0018,Desktop,CRMC\A.Ackley,Microsoft Windows 10 Pro 10.0.19045,329C0M2,CRMC0018,2025-03-26T23:48:46Z,14:B3:1F:22:50:BF,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz
Online,CRMC,CRMC0019,Desktop,CRMC\e.ladino,Microsoft Windows 10 Pro 10.0.19045,328C0M2,CRMC0019,2025-03-26T23:48:46Z,14:B3:1F:23:55:58,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz
