Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Offline,CVSH,AAM1008,Desktop,CVSH\gm13805,Microsoft Windows 10 Pro 10.0.19045,J6KVXV1,AAM1008,2025-02-13T22:32:09Z,90:B1:1C:6E:D6:4A,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT1024,Desktop,CVSH\tammy.thompson,Microsoft Windows 11 Pro 10.0.26100,1LGRK74,AAMDT1024,2025-03-26T23:49:08Z,"AC:B4:80:31:CC:37, 6C:F6:DA:BD:B9:96",Intel(R) Core(TM) Ultra 7 265K
Online,CVSH,AAMDT133,Desktop,CVSH\jennifer.honeycutt,Microsoft Windows 10 Pro 10.0.19045,3RCFRW1,AAMDT133,2025-03-26T23:49:08Z,A4:1F:72:4C:58:5D,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT161,Desktop,CVSH\ssandhu,Microsoft Windows 11 Pro 10.0.26100,GQM2BT2,CVSHDT161,2025-03-26T23:49:08Z,54:BF:64:A4:5D:5F,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz
Offline,CVSH,AAMDT343,Desktop,CVSH\imran.zafar,Microsoft Windows 10 Pro 10.0.19045,HXWR7Y1,AAMDT343,2025-03-26T18:13:00Z,A4:1F:72:91:8E:E9,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT415,Desktop,CVSH\os30285,Microsoft Windows 10 Pro 10.0.19045,4WHVCZ1,AAMDT415,2025-03-26T23:49:08Z,F8:B1:56:AE:50:5F,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT611,Desktop,CVSH\sk30458,Microsoft Windows 10 Pro 10.0.19045,653T482,AAMDT611,2025-03-26T23:49:08Z,64:00:6A:92:B0:90,Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz
Online,CVSH,AAMDT675,Desktop,CVSH\evelyn.reeves,Microsoft Windows 10 Pro 10.0.19045,9RVLX12,AAMDT675,2025-03-26T23:49:08Z,34:17:EB:B8:C5:D4,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT699,Desktop,CVSH\james.avery,Microsoft Windows 10 Pro 10.0.19045,GHD3CX1,AAMDT699,2025-03-26T23:49:08Z,90:B1:1C:9B:90:E9,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Online,CVSH,AAMDT724,Desktop,CVSH\sbhullar,Microsoft Windows 10 Pro 10.0.19045,3R26S22,AAMDT724,2025-03-26T23:49:08Z,98:90:96:9E:0C:FA,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Offline,CVSH,AAMDT727,Desktop,CVSH\CM30456,Microsoft Windows 11 Pro 10.0.22621,MXL31401WH,AAMDT727,2025-03-26T23:32:43Z,6C:3B:E5:1A:03:36,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz
Online,CVSH,AAMDT733,Desktop,CVSH\SARAH.REYNA,Microsoft Windows 11 Pro 10.0.22621,15H5XV1,CVSHDT231,2025-03-26T23:49:08Z,90:B1:1C:6B:D1:57,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT740,Desktop,CVSH\kh13066,Microsoft Windows 11 Pro 10.0.22621,B2YLRW1,AAMDT740,2025-03-26T23:49:08Z,90:B1:1C:7B:51:96,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Online,CVSH,AAMDT790,Desktop,CVSH\cc30404,Microsoft Windows 11 Pro 10.0.22621,72RBF42,AAMDT790,2025-03-26T23:49:08Z,"98:90:96:D9:55:8A, E8:48:B8:C8:20:00",Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz
Online,CVSH,AAMDT795,Desktop,CVSH\ra30399,Microsoft Windows 11 Pro 10.0.22621,64VMDZ1,AAMDT795,2025-03-26T23:49:08Z,F8:B1:56:BF:B6:BD,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
Online,CVSH,AAMDT801,Desktop,CVSH\gr30333,Microsoft Windows 11 Pro 10.0.22621,10L5Z12,AAMDT801,2025-03-26T23:49:08Z,34:17:EB:C0:AD:45,Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz
Online,CVSH,AAMDT807,Desktop,CVSH\tm13105,Microsoft Windows 11 Pro 10.0.22621,3R0GRW1,AAMDT716,2025-03-26T23:49:08Z,A4:1F:72:54:BC:C7,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT831,Desktop,CVSH\jc30305,Microsoft Windows 11 Pro 10.0.22621,4W4TCZ1,AAMDT831,2025-03-26T23:49:08Z,F8:B1:56:AE:71:74,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT892,Desktop,CVSH\ew30434,Microsoft Windows 11 Pro 10.0.22621,3D6ZK02,AAMDT892,2025-03-26T23:49:08Z,"34:17:EB:A0:EB:76, E8:48:B8:C8:20:00",Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
Online,CVSH,AAMDT900,Desktop,CVSH\pk30358,Microsoft Windows 11 Pro 10.0.26100,GHTS4Z2,AAMDT900,2025-03-26T23:49:08Z,"B0:68:E6:63:6C:29, E4:B9:7A:EA:62:7D, C2:68:E6:63:6C:29",Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
Online,CVSH,AAMDT921,Desktop,AAMDT921\Destiny.Borba,Microsoft Windows 11 Pro 10.0.26100,5SGLWV3,AAMDT921,2025-03-26T23:49:08Z,"CC:96:E5:19:DD:29, 50:91:E3:A1:AE:28",12th Gen Intel(R) Core(TM) i7-12700
Online,CVSH,AAMDT934,Desktop,CVSH\kb30322,Microsoft Windows 11 Pro 10.0.22621,3QYHRW1,AAMDT934,2025-03-26T23:49:08Z,"A4:1F:72:54:BD:30, A4:1F:72:54:BD:30",Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT935,Desktop,CVSH\ms30455,Microsoft Windows 11 Pro 10.0.22621,CFKNM22,AAMDT935,2025-03-26T23:49:08Z,34:17:EB:D0:E6:3A,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,CVSH,AAMDT975,Desktop,AAMDT975\Support,Microsoft Windows 10 Pro 10.0.19045,EBPXBX001841,AAMDT975,2025-03-26T23:49:08Z,"F0:A7:31:64:4B:70, 38:2C:4A:AF:05:DB",Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
Online,CVSH,AAMDT996,Desktop,CVSH\mz30379,Microsoft Windows 11 Pro 10.0.26100,B1PHC14,AAMDT996,2025-03-26T23:49:08Z,"20:88:10:87:20:17, 58:6D:67:12:B2:B3, 58:6D:67:12:B2:B7, 5A:6D:67:12:B2:B3",13th Gen Intel(R) Core(TM) i5-13500T
Online,CVSH,AAMFS,Server,CVSH\sverma,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d 96 ec 4e ce 0b 23-49 72 9f 37 24 4f b5 67,AAMFS,2025-03-26T23:49:08Z,00:0C:29:4F:B5:67,Intel(R) Xeon(R) CPU           E5530  @ 2.40GHz
Offline,CVSH,AAMLT1011,Laptop,AAMLT1011\Elvin Wance,Microsoft Windows 11 Pro 10.0.22631,89N9M34,AAMLT1011,2025-02-19T05:45:02Z,"2C:98:11:8E:A2:C9, 20:7B:D2:8C:3B:9B, 2C:98:11:8E:A2:CA",12th Gen Intel(R) Core(TM) i5-1235U
Offline,CVSH,AAMLT569,Laptop,AAMLT569\tammy.thompson,Microsoft Windows 10 Pro 10.0.19045,628YSJ2,AAMLT569,2025-03-07T08:20:35Z,"44:03:2C:FA:11:D0, 44:03:2C:FA:11:D4",Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz
