Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,GMC,ACC4-800,Desktop,GMC\kgutierrez,Microsoft Windows 10 Pro 10.0.19045,MXL352146F,ACC4-800,2025-03-26T23:55:59Z,"F0:92:1C:E3:97:DC, 53:4E:57:00:00:00",Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz
Online,GMC,ADMIN4-800,Desktop,GMC\lstill,Microsoft Windows 10 Pro 10.0.19045,47BK082,ADMIN4-800,2025-03-26T23:55:59Z,"A4:C4:94:E6:FC:21, A4:C4:94:E6:FC:25, 64:00:6A:22:20:89",Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
Online,GMC,BLNG10-400,Desktop,GMC\kniblack,Microsoft Windows 10 Pro 10.0.19045,G391L52,BLNG10-400,2025-03-26T23:55:59Z,"64:00:6A:06:8E:8C, 10:4A:7D:AD:97:6A, 10:4A:7D:AD:97:6E",Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
Online,GMC,BLNG12-400,Desktop,GMC\christiano,Microsoft Windows 10 Pro 10.0.19045,MXL239295N,GMCDT1133,2025-03-26T23:55:59Z,24:BE:05:0A:B7:0F,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz
Online,GMC,BLNG14-400,Desktop,GMC\dkester,Microsoft Windows 10 Pro 10.0.19045,2UA1340WWT,BLNG14-400,2025-03-26T23:55:59Z,3C:D9:2B:5D:F4:3B,Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz
Online,GMC,BLNG3-400,Desktop,GMC\alutz1,Microsoft Windows 10 Pro 10.0.19045,B09DXH2,BLNG3-400,2025-03-26T23:55:59Z,"48:4D:7E:F2:6C:EA, F4:8C:50:C4:A8:E2, F4:8C:50:C4:A8:E6",Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz
Online,GMC,BLNG5-400,Desktop,GMC\acarnahan,Microsoft Windows 10 Pro 10.0.19045,MXL3250QZ4,BLNG5-400,2025-03-26T23:55:59Z,88:51:FB:81:D7:14,Intel(R) Core(TM) i5-3570S CPU @ 3.10GHz
Online,GMC,BLNG8-400,Desktop,GMC\cclark1,Microsoft Windows 10 Pro 10.0.19045,473K082,BLNG8-400,2025-03-26T23:55:59Z,"A4:C4:94:E7:0C:C5, A4:C4:94:E7:0C:C9, 64:00:6A:22:DA:20",Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
Online,GMC,CCE1260350MLP,Server,GMC\akhan,Microsoft Windows Server 2016 Standard 10.0.14393,VMware-56 4d 14 db d8 67 ed 7a-9c 95 23 0d c2 c2 96 8f,CCE1260350MLP,2025-03-26T23:55:59Z,00:0C:29:C2:96:8F,Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
Online,GMC,CCE1260350MLT,Server,GMC\rpatel,Microsoft Windows Server 2016 Standard 10.0.14393,VMware-56 4d 6d 81 d3 49 e5 34-b0 00 48 8c c5 29 07 99,CCE1260350MLT,2025-03-26T23:55:59Z,00:0C:29:29:07:99,Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
Offline,GMC,CPSI12-LAP,Laptop,GMC\csolano,Microsoft Windows 10 Pro 10.0.19045,6PJQNX1,CPSI12-LAP,2025-02-21T21:39:28Z,"F0:1F:AF:34:2C:63, 70:18:8B:06:D4:E8, 70:18:8B:06:D4:E8, 24:FD:52:36:71:13",Intel(R) Core(TM) i5-3380M CPU @ 2.90GHz
Offline,GMC,CPSI17-LAP,Laptop,GMC\jgarcia,Microsoft Windows 10 Pro 10.0.19045,H1KQNX1,CPSI17-LAP,2025-02-21T20:35:28Z,"70:18:8B:06:D4:F7, F0:1F:AF:34:E4:43, 24:FD:52:36:DF:9C",Intel(R) Core(TM) i5-3380M CPU @ 2.90GHz
Offline,GMC,CPSI2-LAP,Desktop,GMC\bochoa,,,CPSI2-LAP,2025-01-27T20:12:13Z,,
Online,GMC,DESKTOP-NFHTV5C,Desktop,DESKTOP-NFHTV5C\cpadmin,Microsoft Windows 10 Pro 10.0.19045,VMware-42 1d d8 1a 0f 11 7c 9a-cd 8d 3d b8 9c 13 b6 5e,DESKTOP-NFHTV5C - FEE TICKETS GMC,2025-03-26T23:55:59Z,"00:15:5D:AA:70:63, 00:50:56:9D:14:78",Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz
Offline,GMC,DTRY2-500,Desktop,GMC\GMCkitchen,Microsoft Windows 10 Pro 10.0.19045,MXL3250R0B,DTRY2-500,2025-02-24T21:47:28Z,"88:51:FB:81:B4:73, 6C:88:14:70:49:FC, 40:A5:EF:47:BF:6F",Intel(R) Core(TM) i5-3570S CPU @ 3.10GHz
Online,GMC,ER6-300,Desktop,GMC\kcook,Microsoft Windows 10 Pro 10.0.19045,2GFZ7N2,ER6-300,2025-03-26T23:55:59Z,"D8:9E:F3:81:67:44, 06:3E:D2:93:D0:4F, 00:21:6B:FE:A0:73",Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz
