Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,KentField Marine,CVSHDT827,Desktop,KFH\ssandhu,Microsoft Windows 11 Pro 10.0.22621,3R7FRW1,CVSHDT827,2025-03-26T23:57:26Z,"A4:1F:72:54:BA:A5, 80:69:1A:5C:09:26",Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Offline,KentField Marine,CVSHLT925,Laptop,CVSHLT925\Anyssa_Cibrian,Microsoft Windows 11 Pro 10.0.26100,JDWNNY3,CVSHLT925,2025-03-26T23:09:14Z,"CC:5E:F8:42:7F:01, CC:5E:F8:42:7F:02",11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz
Online,KentField Marine,D747MH63,Server,D747MH63\TouchPoint,Microsoft Windows Server 2019 Standard 10.0.17763,747MH63,D747MH63,2025-03-26T23:57:26Z,"B8:CB:29:96:72:F1, B8:CB:29:96:72:F2",Intel(R) Xeon(R) E-2124 CPU @ 3.30GHz
Online,KentField Marine,DESKTOP-00PRVNC,Laptop,DESKTOP-00PRVNC\Kristoffer_Ramos,Microsoft Windows 11 Pro 10.0.26100,B1VP044,KFHLT266,2025-03-26T23:57:26Z,"58:CD:C9:DB:7A:83, 58:CD:C9:DB:7A:84, 5E:CD:C9:DB:7A:83",12th Gen Intel(R) Core(TM) i5-1235U
Offline,KentField Marine,DESKTOP-7CGVB1L,Laptop,DESKTOP-7CGVB1L\n.sanluis,Microsoft Windows 11 Pro 10.0.26100,90QV9K3,DESKTOP-7CGVB1L,2025-03-26T23:37:08Z,"D4:54:8B:02:42:DE, A0:29:19:49:02:D7, D4:54:8B:02:42:E2",11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
Online,KentField Marine,KDHDT152,Desktop,KFH\yhuang,Microsoft Windows 11 Pro 10.0.26100,1B4G724,KFHDT152,2025-03-26T23:57:26Z,"20:88:10:A1:97:B5, 58:6D:67:35:73:A2, 58:6D:67:35:73:A6",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFH-DHCP,Server,KFH\sverma,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d 5d b8 64 c7 f6 de-48 b1 ad 5e fb 6b a7 49,KFH-DHCP,2025-03-26T23:57:26Z,00:0C:29:6B:A7:49,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH-EHRBKP,Desktop,KFH\jsaini,Microsoft Windows 11 Pro 10.0.26100,6P4B8B3,KFHDT035,2025-03-26T23:57:26Z,70:B5:E8:4E:FE:06,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz
Online,KentField Marine,KFH-FAX-SERVER,Server,KFH\rpatel,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 3f df 93 d4 0b 1c 3e-ad 9a 8e 56 1e 54 c8 bd,KFH-FAX-SERVER,2025-03-26T23:57:26Z,00:50:56:BF:6A:13,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH-IT2,Desktop,KFH\nbisht,Microsoft Windows 10 Pro 10.0.19045,VMware-42 3f cc d5 f1 4b 9a a9-97 78 df eb ce aa 4a 58,KFH-IT2,2025-03-26T23:57:26Z,00:50:56:BF:CC:CA,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Offline,KentField Marine,KFH-IT3,Desktop,KFH\sthakur,Microsoft Windows 10 Pro 10.0.19045,VMware-42 3f d5 d2 35 01 d8 18-e4 48 a6 5b c8 af 81 00,DESKTOP-6R8M9NS,2025-03-21T04:12:03Z,00:50:56:BF:86:5B,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH-MEDDISP-Test,Server,KFH\sverma,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d fb ad 5c 0b 48 ea-bf a3 5f fb 61 51 99 75,KFH-MEDDISP-Test,2025-03-26T23:57:26Z,"00:50:56:BF:F9:74, 00:50:56:BF:F9:74",Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH-Novarad2,Server,CA-KH\nradmin,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 3f dd 36 a9 a7 e8 81-41 c7 e5 75 25 27 25 10,WIN-QBJOQC6MM4K,2025-03-26T23:57:26Z,00:50:56:BF:19:69,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH-TruCode,Server,KFH\rpatel,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 0c 01 ce 16 69 53 ab-ed 2d 73 2a 82 e9 c1 bc,KFH-TruCode,2025-03-26T23:57:26Z,00:50:56:8C:35:8A,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFH-VPN,Server,KFH\sverma,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-56 4d d3 7d 10 36 13 3a-54 fb 25 d4 4b 49 ff e8,KFH-VPN,2025-03-26T23:57:26Z,00:50:56:BF:F7:1A,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz
Online,KentField Marine,KFHDT002,Desktop,KFH\seemak,Microsoft Windows 11 Pro 10.0.26100,2HJB8Y3,KFMDT002,2025-03-26T23:57:26Z,"6C:3C:8C:4F:D6:17, 48:AD:9A:59:F8:0C",13th Gen Intel(R) Core(TM) i5-13500T
Online,KentField Marine,KFHDT006,Desktop,KFH\bkang,Microsoft Windows 11 Pro 10.0.26100,JPMB8Y3,KFMDT006,2025-03-26T23:57:26Z,"6C:3C:8C:4F:D1:05, C4:3D:1A:BE:36:5B, C4:3D:1A:BE:36:5F",13th Gen Intel(R) Core(TM) i5-13500T
Online,KentField Marine,KFHDT007,Desktop,KFH\tdolma,Microsoft Windows 11 Pro 10.0.26100,FLMB8Y3,KFMDT007,2025-03-26T23:57:26Z,"6C:3C:8C:50:E1:DA, 48:AD:9A:5A:05:14, 48:AD:9A:5A:05:18",13th Gen Intel(R) Core(TM) i5-13500T
