Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Offline,"KentField Sanfrancisco ",DESKTOP-3JAOPI1,Laptop,DESKTOP-3JAOPI1\support,Microsoft Windows 10 Pro 10.0.19045,D14L1Z2,Param's Laptop,2025-03-21T21:28:12Z,"98:E7:43:6E:EA:8B, 50:EB:71:BD:76:94, 50:EB:71:BD:76:98",Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz
Online,"KentField Sanfrancisco ",DFHLT246,Laptop,KFH\ftseten,Microsoft Windows 10 Pro 10.0.19045,5CG95208V0,DFHLT246,2025-03-26T23:57:45Z,"80:32:53:A2:CB:D2, E8:D8:D1:AB:95:15, 80:32:53:A2:CB:D6",AMD Ryzen 3 PRO 3300U w/ Radeon Vega Mobile Gfx
Online,"KentField Sanfrancisco ",KFHDT012,Desktop,KFH\ftseten,Microsoft Windows 11 Pro 10.0.22631,FTQB8Y3,KFMDT012,2025-03-26T23:57:45Z,"6C:3C:8C:4F:7C:B7, C4:3D:1A:C0:7B:2D, C4:3D:1A:C0:7B:31",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT030,Desktop,KFH\ryohannes,Microsoft Windows 11 Pro 10.0.26100,DTQB8Y3,KFHDT030,2025-03-26T23:57:45Z,"6C:3C:8C:4F:D5:A6, C4:3D:1A:C1:38:A1, C4:3D:1A:C1:38:A5",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT032,Desktop,KFH\VPECKHAM,Microsoft Windows 11 Pro 10.0.26100,3TNQRY3,KFHDT032,2025-03-26T23:57:45Z,"6C:3C:8C:56:F6:10, 48:AD:9A:58:53:C2, 48:AD:9A:58:53:C6",13th Gen Intel(R) Core(TM) i5-13500T
Offline,"KentField Sanfrancisco ",KFHDT033,Desktop,KFH\kmoy,Microsoft Windows 11 Pro 10.0.26100,2SQKRY3,KFHDT033,2025-03-07T18:00:24Z,"6C:3C:8C:5A:CE:F6, 48:AD:9A:57:F6:4D, 48:AD:9A:57:F6:51, 4A:AD:9A:57:F6:4D",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT034,Desktop,KFH\tnyidon,Microsoft Windows 11 Pro 10.0.26100,9QQKRY3,KFHDT034,2025-03-26T23:57:45Z,"48:AD:9A:40:79:D2, 6C:3C:8C:5A:F1:1E, 48:AD:9A:40:79:D6",13th Gen Intel(R) Core(TM) i5-13500T
Offline,"KentField Sanfrancisco ",KFHDT040,Desktop,KFH\ryohannes,Microsoft Windows 11 Pro 10.0.26100,7LMB8Y3,KFHDT040,2025-03-06T18:31:19Z,"6C:3C:8C:4F:CF:02, 48:AD:9A:59:F8:12, 48:AD:9A:59:F8:16",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT041,Desktop,KFH\kyasukawa,Microsoft Windows 11 Pro 10.0.22631,FSQB8Y3,KFHDT041,2025-03-26T23:57:45Z,"6C:3C:8C:4F:7D:4F, C4:3D:1A:C0:7A:D3",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT042,Desktop,KFH\ftsamchoe,Microsoft Windows 11 Pro 10.0.26100,5SNQRY3,KFHDT042,2025-03-26T23:57:45Z,"6C:3C:8C:56:F6:32, 48:AD:9A:58:53:CC, 48:AD:9A:58:53:D0",13th Gen Intel(R) Core(TM) i5-13500T
Offline,"KentField Sanfrancisco ",KFHDT043,Desktop,KFH\jgomez,Microsoft Windows 11 Pro 10.0.26100,2TNQRY3,KFHDT043,2025-03-11T15:02:49Z,"6C:3C:8C:57:2A:5D, 48:AD:9A:58:27:71",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT045,Desktop,KFH\srangee,Microsoft Windows 11 Pro 10.0.26100,HNMB8Y3,KFHDT045,2025-03-26T23:57:45Z,"6C:3C:8C:4F:D1:DA, C4:3D:1A:BE:38:09, C4:3D:1A:BE:38:0D",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT050,Desktop,KFH\vpeckham,Microsoft Windows 11 Pro 10.0.26100,4HJB8Y3,KFHDT050,2025-03-26T23:57:45Z,"6C:3C:8C:4F:D5:76, 48:AD:9A:59:F6:B4, 48:AD:9A:59:F6:B8",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT053,Desktop,KFH\apark,Microsoft Windows 11 Pro 10.0.26100,BNMB8Y3,KFHDT053,2025-03-26T23:57:45Z,"6C:3C:8C:4F:CF:10, C4:3D:1A:BE:37:EB, C4:3D:1A:BE:37:EF",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT054,Desktop,KFH\ftsamchoe,Microsoft Windows 11 Pro 10.0.26100,HSQB8Y3,KFHDT054,2025-03-26T23:57:45Z,"6C:3C:8C:4F:D3:13, C4:3D:1A:BE:36:A1, C4:3D:1A:BE:36:A5",13th Gen Intel(R) Core(TM) i5-13500T
