Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,Madera Community Hospital,AAMDT1023,Desktop,CVSH\gm13805,Microsoft Windows 11 Pro 10.0.26100,7FHJK44,AAMDT1023,2025-03-26T23:58:07Z,"20:88:10:B2:58:03, 58:6D:67:BB:71:EB, 58:6D:67:BB:71:EF",Intel(R) Core(TM) i5-14500T
Offline,Madera Community Hospital,ACCT-C003-1218,Desktop,HIS\aguerrero,Microsoft Windows 10 Enterprise 10.0.19045,MJ06U3WA,ACCT-C003-1218,2025-02-08T15:51:19Z,"6C:4B:90:57:A2:6F, 0C:54:15:38:A8:B5",Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz
Offline,Madera Community Hospital,C-DOWNTIME3,Desktop,C-DOWNTIME3\Administrator,Microsoft Windows 10 Enterprise 10.0.18363,2UA4042526,C-DOWNTIME3,2025-03-03T21:53:56Z,2C:44:FD:38:6F:B2,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz
Online,Madera Community Hospital,Computrition-Web,Server,HIS\ms1111,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 32 b4 ac 27 0b 64 54-d8 8a f9 ff 35 ee 1c c7,Computrition-Web,2025-03-26T23:58:07Z,00:50:56:B2:5E:D6,Intel(R) Xeon(R) Gold 6330N CPU @ 2.20GHz
Online,Madera Community Hospital,Computriton-DB,Server,HIS\ms1111,Microsoft Windows Server 2019 Standard 10.0.17763,VMware-42 32 19 75 34 8a e3 f4-0d 3b 40 c0 d5 a7 cc af,MCH-Computriton-DB,2025-03-26T23:58:07Z,00:50:56:B2:7A:37,Intel(R) Xeon(R) Gold 6330N CPU @ 2.20GHz
Online,Madera Community Hospital,CVSHDT1008,Desktop,CVSH\GL13576,Microsoft Windows 11 Pro 10.0.22621,J6KVXV1,CVSHDT1008,2025-03-26T23:58:07Z,90:B1:1C:6E:D6:4A,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Madera Community Hospital,CVSHMC1012,Desktop,CVSH\np13926,Microsoft Windows 10 Pro 10.0.19045,325D0M2,CVSHMC1012,2025-03-26T23:58:07Z,"F0:A7:31:64:60:89, 14:B3:1F:22:52:35",Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz
Offline,Madera Community Hospital,DESKTOP-DV3K0TD,Laptop,DESKTOP-DV3K0TD\support,Microsoft Windows 10 Pro 10.0.19045,5CD6360NVD,DESKTOP-DV3K0TD,2025-03-23T12:52:51Z,"E4:A7:A0:42:7E:DA, 98:E7:F4:53:18:74",Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz
Offline,Madera Community Hospital,DESKTOP-E8QS7AQ,Laptop,DESKTOP-E8QS7AQ\Support,Microsoft Windows 11 Pro 10.0.22621,HW5GRF2,Madera IT,2025-03-03T23:50:01Z,"34:F3:9A:E8:5D:D2, D4:81:D7:5D:09:A4, 34:F3:9A:E8:5D:D6",Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz
Offline,Madera Community Hospital,DHLT001,Laptop,DAMERON\education,Microsoft Windows 11 Pro 10.0.26100,FVS99K3,DHLT001,2025-03-24T09:08:29Z,"70:A6:CC:E2:A9:6E, 70:A6:CC:E2:A9:72",11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
Offline,Madera Community Hospital,DHLT0012,Laptop,DHLT0012\support,Microsoft Windows 11 Pro 10.0.22631,96N4BC3,DHLT0012,2025-02-19T05:46:25Z,"D0:3C:1F:41:BD:06, D0:3C:1F:41:BD:0A",11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
Offline,Madera Community Hospital,DHLT005,Laptop,DAMERON\bcerceda,Microsoft Windows 11 Pro 10.0.26100,65SP7D3,DHLT005,2025-03-03T18:16:54Z,"70:A6:CC:E2:C7:A0, 70:A6:CC:E2:C7:A4",11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
