Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,Orchard Hospital,AmbraServer,Server,BGMH\alkhan,Microsoft Windows Server 2016 Standard 10.0.14393,VMware-42 0d 8c 32 00 55 11 12-42 00 9d 50 7c 03 6f 5a,AmbraServer,2025-03-26T23:58:48Z,00:50:56:8D:86:49,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
Online,Orchard Hospital,BGMH0391,Laptop,BGMH\lbates,Microsoft Windows 10 Business 10.0.19045,5CD8482JVX,BGMH0391,2025-03-26T23:58:48Z,"FE:01:5B:87:E5:22, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01, E4:E7:49:37:3A:53, FC:01:7C:87:7D:32",Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz
Online,Orchard Hospital,BGMH1012,Desktop,BGMH\bshipman,Microsoft Windows 10 Business 10.0.19045,S5DTPBH,BGMH1012,2025-03-26T23:58:48Z,C8:9C:DC:31:B7:B8,Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz
Online,Orchard Hospital,bgmh1016,Desktop,BGMH\eventura,Microsoft Windows 10 Business 10.0.19045,MJVLHMW,bgmh1016,2025-03-26T23:58:48Z,D4:3D:7E:1D:DA:18,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Offline,Orchard Hospital,bgmh1073,Desktop,BGMH\dlincoln,Microsoft Windows 10 Business 10.0.19045,MJVLHMV,bgmh1073,2025-03-20T23:35:32Z,D4:3D:7E:1D:DA:78,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Offline,Orchard Hospital,BGMH1138,Desktop,,Microsoft Windows 10 Business 10.0.19045,S1AFH48,BGMH1138,2025-03-24T01:03:30Z,F8:0F:41:2A:E1:E9,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
Online,Orchard Hospital,bgmh1167,Desktop,BGMH\dhughart,Microsoft Windows 10 Pro 10.0.19045,CC1XCY1,bgmh1167,2025-03-26T23:58:48Z,C8:1F:66:1A:B1:40,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Orchard Hospital,BGMH1177,Desktop,BGMH\psahota,Microsoft Windows 10 Business 10.0.19045,5N0PCY1,BGMH1177,2025-03-26T23:58:48Z,C8:1F:66:07:F4:55,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Orchard Hospital,bgmh1178,Desktop,BGMH\jdhadli,Microsoft Windows 10 Business 10.0.19045,6N0PCY1,bgmh1178,2025-03-26T23:58:48Z,C8:1F:66:07:FF:A1,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Orchard Hospital,BGMH1193,Desktop,BGMH\cfranklin,Microsoft Windows 10 Business 10.0.19045,5B1XCY1,BGMH1193,2025-03-26T23:58:48Z,C8:1F:66:1D:0D:04,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Orchard Hospital,bgmh1200,Desktop,BGMH\ezapata,Microsoft Windows 10 Business 10.0.19045,5H1XCY1,bgmh1200,2025-03-26T23:58:48Z,C8:1F:66:1C:A5:F3,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Orchard Hospital,bgmh1227,Desktop,BGMH\mcampos,Microsoft Windows 10 Business 10.0.19045,1339XV1,bgmh1227,2025-03-26T23:58:48Z,90:B1:1C:6D:AF:68,Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz
Offline,Orchard Hospital,BGMH1250,Desktop,BGMH\sandeepk,,,BGMH1250,2025-01-27T22:39:46Z,,
Online,Orchard Hospital,BGMH1258,Desktop,BGMH\NLEE,Microsoft Windows 10 Business 10.0.19045,PC09MH8B,BGMH1258,2025-03-26T23:58:48Z,"D8:CB:8A:CF:C5:07, 7C:5C:F8:6C:D2:5C, 7C:5C:F8:6C:D2:60",Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
Online,Orchard Hospital,bgmh1284,Desktop,BGMH\jsannar,Microsoft Windows 10 Business 10.0.19045,DQVNAAA00164204C603000,bgmh1284,2025-03-26T23:58:48Z,"7C:B0:C2:89:A1:4D, 7C:B0:C2:89:A1:51, 98:EE:CB:4B:CA:F1",Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz
Offline,Orchard Hospital,bgmh1286,Desktop,BGMH\jrogers,Microsoft Windows 10 Business 10.0.19045,DQVNAAA00164204C4F3000,bgmh1286,2025-02-17T02:04:31Z,"7C:B0:C2:89:9D:29, 7C:B0:C2:89:9D:2D, 98:EE:CB:4B:CA:D2",Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz
Online,Orchard Hospital,bgmh1299,Desktop,BGMH\bdubiel,Microsoft Windows 10 Business 10.0.19045,18CH282,bgmh1299,2025-03-26T23:58:48Z,"64:00:6A:7A:91:15, B0:C0:90:22:2A:FA",Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
Online,Orchard Hospital,BGMH1312,Laptop,BGMH\mholt,Microsoft Windows 10 Enterprise 10.0.19045,C185082206,BGMH1312,2025-03-26T23:58:48Z,"0C:54:15:89:BE:A8, 44:8E:12:03:E4:7C, 0C:54:15:89:BE:AC",Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz
