Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,Sonoma,CAMDT01,Desktop,CAMDT01\Cam,Microsoft Windows 11 Pro 10.0.22000,2UA2461JBS,CAMDT01,2025-03-26T23:59:39Z,"B4:B5:2F:DE:93:6B, 00:0F:02:49:37:94",Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,Sonoma,Camdt02,Desktop,CAMDT02\CAM,Microsoft Windows 11 Pro 10.0.22000,2UA5341209,CAMDT02,2025-03-26T23:59:39Z,EC:B1:D7:52:8C:21,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,Sonoma,CAMDT04,Desktop,CAMDT04\Cam,Microsoft Windows 10 Pro 10.0.19045,2UA2460RDD,CAMDT04,2025-03-26T23:59:39Z,B4:B5:2F:D5:98:A3,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz
Online,Sonoma,HR-TECH,Desktop,SWMC\emusgrove,Microsoft Windows 10 Pro 10.0.19045,MXL5301G64,HR-TECH,2025-03-26T23:59:39Z,8C:DC:D4:2B:AB:05,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,Sonoma,IT-03,Desktop,IT-03\support,Microsoft Windows 10 Pro 10.0.19045,MXL2360ZHZ,IT-03,2025-03-26T23:59:39Z,24:BE:05:27:60:82,AMD Phenom(tm) II X3 B75 Processor
Online,Sonoma,IT-04,Desktop,SWMC\akumar2,Microsoft Windows 10 Pro 10.0.19045,7YHVSM2,IT-04,2025-03-26T23:59:39Z,D8:9E:F3:2C:A7:67,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz
Online,Sonoma,NRTELERAD01,Desktop,NRTELERAD01\nradmin,Microsoft Windows 10 Enterprise LTSC 10.0.17763,D8JV7B3,NRTELERAD01,2025-03-26T23:59:39Z,B0:7B:25:03:94:FF,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz
Online,Sonoma,PC-BACKUP,Desktop,PC-BACKUP\Nurse,Microsoft Windows 10 Pro 10.0.19045,MJ07SKNR,SSH- Emarbackup,2025-03-26T23:59:39Z,00:D8:61:1D:6A:4B,Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz
Online,Sonoma,SSH-LAB1,Desktop,SWMC\jprice,Microsoft Windows 10 Pro 10.0.19045,MXL2140ML9,SSH-LAB1,2025-03-26T23:59:39Z,E8:39:35:49:A8:0C,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz
Online,Sonoma,SSH-RAD-ADMIT,Desktop,SWMC\kphipps,Microsoft Windows 10 Pro 10.0.19045,MXL3101PLR,SSH-RAD-ADMIT,2025-03-26T23:59:39Z,78:E3:B5:BB:4E:81,Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz
Online,Sonoma,SSH-RTF,Desktop,SSH-RTF\cpadmin,Microsoft Windows 10 Pro 10.0.19045,VMware-56 4d 7e 86 88 98 a4 c8-21 0e c2 95 aa 71 bc 9e,SSH-RTF,2025-03-26T23:59:39Z,00:0C:29:71:BC:9E,Intel(R) Xeon(R) CPU E5-2640 0 @ 2.50GHz
Offline,Sonoma,SSHDT02,Desktop,SWMC\jnaidu,Microsoft Windows 11 Pro 10.0.22631,GWB5H63,SSHDT02,2025-02-12T23:39:36Z,"A4:B1:C1:43:05:BC, A4:BB:6D:4D:1A:8B, A4:B1:C1:43:05:C0",Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz
